编码,汉字,语言,语言用例,地名,地名用例,科学,科学用例,人文,人文用例,人名,人名用例,和字,备注
U+87B2,螲,,,,,,,,,,,,
U+87BE,螾,,,,,,,,,,,,
U+87E2,蟢,,,,,,,,,,,,
U+881A,蠚,,,,,,,,,,,,
U+8835,蠵,,,,,,,,,,,,
U+884B,衋,,,,,,,,,,,,
U+884F,衏,,,,,,,,,,,,
U+8856,衖,,,,,,,,,,,,
U+888E,袎,,,,,,,,,,,,
U+88BA,袺,,,,,,,,,,,,
U+88CB,裋,,,,,,,,,,,,
U+88EF,裯,,,,,,,,,,,,
U+890E,褎,,,,,,,,,,,,
U+891D,褝,,,,,,,,,,,,
U+8926,褦,,,,,,,,,,,,
U+893E,褾,,,,,,,,,,,,
U+8946,襆,,,,,,,,,,,,
U+896E,襮,,,,,,,,,,,,
U+8976,襶,,,,,,,,,,,,
U+8982,覂,,,,,,,,,,,,
U+89CD,觍,,,,,,,,,,,,
U+89FA,觺,,,,,,,,,,,,
U+8B37,謷,,,,,,,,,,,,
U+8B4D,譍,,,,,,,,,,,,
U+8BEA,诪,,,,,,,,,,,,
U+8C09,谉,,,,,,,,,,,,
U+8C40,豀,,,,,,,,,,,,
U+8C57,豗,,,,,,,,,,,,
U+8C6D,豭,,,,,,,,,,,,
U+8D69,赩,,,,,,,,,,,,
U+8D6F,赯,,,,,,,,,,,,
U+8D78,赸,,,,,,,,,,,,
U+8D96,趖,,,,,,,,,,,,
U+8DBB,趻,,,,,,,,,,,,
U+8DC5,跅,,,,,,,,,,,,
U+8DD4,跔,,,,,,,,,,,,
U+8DD5,跕,,,,,,,,,,,,
U+8DE9,跩,,,,,,,,,,,,
U+8DF0,跰,,,,,,,,,,,,
U+8DF2,跲,,,,,,,,,,,,
U+8E06,踆,,,,,,,,,,,,
U+8E16,踖,,,,,,,,,,,,
U+8E27,踧,,,,,,,,,,,,
U+8E33,踳,,,,,,,,,,,,
U+8E38,踸,,,,,,,,,,,,
U+8E4D,蹍,,,,,,,,,,,,
U+8E4E,蹎,,,,,,,,,,,,
U+8E53,蹓,,,,,,,,,,,,
U+8E84,躄,,,,,,,,,,,,
U+8E88,躈,,,,,,,,,,,,
U+8FB5,辵,,,,,,,,,,,,
U+8FBB,辻,,,,,,,,,,,,
U+8FCD,迍,,,,,,,,,,,,
U+8FD2,迒,,,,,,,,,,,,
U+904C,遌,,,,,,,,,,,,
U+905D,遝,,,,,,,,,,,,
U+9085,邅,,,,,,,,,,,,
U+90CB,郋,,,,,,,,,,,,
U+90D5,郕,,,,,,,,,,,,
U+90D9,郙,,,,,,,,,,,,
U+910B,鄋,,,,,,,,,,,,
U+910F,鄏,,,,,,,,,,,,
U+913E,鄾,,,,,,,,,,,,
U+9155,酕,,,,,,,,,,,,
U+9158,酘,,,,,,,,,,,,
U+9181,醁,,,,,,,,,,,,
U+9184,醄,,,,,,,,,,,,
U+918A,醊,,,,,,,,,,,,
U+91A1,醡,,,,,,,,,,,,
U+91B0,醰,,,,,,,,,,,,
U+91BD,醽,,,,,,,,,,,,
U+92EC,鋬,,,,,,,,,,,,
U+94D3,铓,,,,,,,,,,,,
U+94E6,铦,,,,,,,,,,,,
U+95EC,闬,,,,,,,,,,,,
U+9613,阓,,,,,,,,,,,,
U+961B,阛,,,,,,,,,,,,
U+9627,阧,,,,,,,,,,,,
U+9641,陁,,,,,,,,,,,,
U+969E,隞,,,,,,,,,,,,
U+969F,隟,,,,,,,,,,,,
U+96D8,雘,,,,,,,,,,,,
U+96F0,雰,,,,,,,,,,,,
U+9702,霂,,,,,,,,,,,,
U+9719,霙,,,,,,,,,,,,
U+9721,霡,,,,,,,,,,,,
U+972B,霫,,,,,,,,,,,,
U+976A,靪,,,,,,,,,,,,
U+9777,靷,,,,,,,,,,,,
U+978C,鞌,,,,,,,,,,,,
U+9793,鞓,,,,,,,,,,,,
U+979A,鞚,,,,,,,,,,,,
U+979B,鞛,,,,,,,,,,,,
U+979E,鞞,,,,,,,,,,,,
U+979F,鞟,,,,,,,,,,,,
U+97A5,鞥,,,,,,,,,,,,
U+97B6,鞶,,,,,,,,,,,,
U+98A3,颣,,,,,,,,,,,,
U+98D6,飖,,,,,,,,,,,,
U+9964,饤,,,,,,,,,,,,
U+9966,饦,,,,,,,,,,,,
U+997E,饾,,,,,,,,,,,,
U+9982,馂,,,,,,,,,,,,
U+998E,馎,,,,,,,,,,,,
U+9AAB,骫,,,,,,,,,,,,
U+9AAD,骭,,,,,,,,,,,,
U+9AB3,骳,,,,,,,,,,,,
U+9AB4,骴,,,,,,,,,,,,
U+9AC6,髆,,,,,,,,,,,,
U+9AC8,髈,,,,,,,,,,,,
U+9AE7,髧,,,,,,,,,,,,
U+9AF2,髲,,,,,,,,,,,,
U+9AF3,髳,,,,,,,,,,,,
U+9B01,鬁,,,,,,,,,,,,
U+9B05,鬅,,,,,,,,,,,,
U+9B07,鬇,,,,,,,,,,,,
U+9B0B,鬋,,,,,,,,,,,,
U+9B0C,鬌,,,,,,,,,,,,
U+9B0E,鬎,,,,,,,,,,,,
U+9B10,鬐,,,,,,,,,,,,
U+9B11,鬑,,,,,,,,,,,,
U+9B19,鬙,,,,,,,,,,,,
U+9B34,鬴,,,,,,,,,,,,
U+9E34,鸴,,,,,,,,,,,,
U+9E53,鹓,,,,,,,,,,,,
U+9E65,鹥,,,,,,,,,,,,
U+9EC1,黁,,,,,,,,,,,,
U+9ED5,黕,,,,,,,,,,,,
U+9EE6,黦,,,,,,,,,,,,
U+9EF1,黱,,,,,,,,,,,,
U+9EF5,黵,,,,,,,,,,,,
U+9F1F,鼟,,,,,,,,,,,,
U+9F25,鼥,,,,,,,,,,,,
U+9F27,鼧,,,,,,,,,,,,
U+9F2A,鼪,,,,,,,,,,,,
U+9F46,齆,,,,,,,,,,,,
U+9FC3,鿃,,,,,,,,,,,,
U+9FD4,鿔,,,,,,,,,,,,
U+9FEB,鿫,,,,,,,,,,,,
U+9FEC,鿬,,,,,,,,,,,,
U+9FED,鿭,,,,,,,,,,,,
U+20242,𠉂,,,,,,,,,,,,
U+2029F,𠊟,,,,,,,,,,,,
U+202C6,𠋆,,,,,,,,,,,,
U+20C8E,𠲎,,,,,,,,,,,,
U+20CFC,𠳼,,,,,,,,,,,,
U+20E96,𠺖,,,,,,,,,,,,
U+21334,𡌴,,,,,,,,,,,,
U+213CB,𡏋,,,,,,,,,,,,
U+21484,𡒄,,,,,,,,,,,,
U+216DF,𡛟,,,,,,,,,,,,
U+21DEB,𡷫,,,,,,,,,,,,
U+21E03,𡸃,,,,,,,,,,,,
U+22016,𢀖,,,,,,,,,,,,
U+22650,𢙐,,,,,,,,,,,,
U+22A8F,𢪏,,,,,,,,,,,,
U+22AEC,𢫬,,,,,,,,,,,,
U+22C49,𢱉,,,,,,,,,,,,
U+232C9,𣋉,,,,,,,,,,,,
U+233B4,𣎴,,,,,,,,,,,,
U+2343F,𣐿,,,,,,,,,,,,
U+23617,𣘗,,,,,,,,,,,,
U+23A3C,𣨼,,,,,,,,,,,,
U+23A95,𣪕,,,,,,,,,,,,
U+23B72,𣭲,,,,,,,,,,,,
U+23C7C,𣱼,,,,,,,,,,,,
U+23D13,𣴓,,,,,,,,,,,,
U+241B5,𤆵,,,,,,,,,,,,
U+2477D,𤝽,,,,,,,,,,,,
U+247A4,𤞤,,,,,,,,,,,,
U+247B6,𤞶,,,,,,,,,,,,
U+24A8C,𤪌,,,,,,,,,,,,
U+24B62,𤭢,,,,,,,,,,,,
U+24C1A,𤰚,,,,,,,,,,,,
U+25050,𥁐,,,,,,,,,,,,
U+25062,𥁢,,,,,,,,,,,,
U+2517B,𥅻,,,,,,,,,,,,
U+251A7,𥆧,,,,,,,,,,,,
U+251E2,𥇢,,,,,,,,,,,,
U+25273,𥉳,,,,,,,,,,,,
U+2560C,𥘌,,,,,,,,,,,,
U+25977,𥥷,,,,,,,,,,,,
U+25B1E,𥬞,,,,,,,,,,,,
U+25B20,𥬠,,,,,,,,,,,,
U+25B2F,𥬯,,,,,,,,,,,,
U+25B9C,𥮜,,,,,,,,,,,,
U+25BBE,𥮾,,,,,,,,,,,,
U+25BE8,𥯨,,,,,,,,,,,,
U+25DD1,𥷑,,,,,,,,,,,,
U+25FDD,𥿝,,,,,,,,,,,,
U+26216,𦈖,,,,,,,,,,,,
U+26220,𦈠,,,,,,,,,,,,
U+2630A,𦌊,,,,,,,,,,,,
U+26553,𦕓,,,,,,,,,,,,
U+267A6,𦞦,,,,,,,,,,,,
U+26A29,𦨩,,,,,,,,,,,,
U+26A2D,𦨭,,,,,,,,,,,,
U+26C0F,𦰏,,,,,,,,,,,,
U+273A5,𧎥,,,,,,,,,,,,
U+273FE,𧏾,,,,,,,,,,,,
U+277C4,𧟄,,,,,,,,,,,,
U+280C5,𨃅,,,,,,,,,,,,
U+284C8,𨓈,,,,,,,,,,,,
U+28697,𨚗,,,,,,,,,,,,
U+28C4D,𨱍,,,,,,,,,,,,
U+28EE7,𨻧,,,,,,,,,,,,
U+2925C,𩉜,,,,,,,,,,,,
U+29B9C,𩮜,,,,,,,,,,,,
U+2A38A,𪎊,,,,,,,,,,,,
U+2A79D,𪞝,,,,,,,,,,,,
U+2A833,𪠳,,,,,,,,,,,,
U+2A8AE,𪢮,,,,,,,,,,,,
U+2A8DD,𪣝,,,,,,,,,,,,
U+2AA07,𪨇,,,,,,,,,,,,
U+2AA0A,𪨊,,,,,,,,,,,,
U+2AA17,𪨗,,,,,,,,,,,,
U+2AB62,𪭢,,,,,,,,,,,,
U+2AB8B,𪮋,,,,,,,,,,,,
U+2AC77,𪱷,,,,,,,,,,,,
U+2AC94,𪲔,,,,,,,,,,,,
U+2ADFD,𪷽,,,,,,,,,,,,
U+2AED0,𪻐,,,,,,,,,,,,
U+2AF47,𪽇,,,,,,,,,,,,
U+2AF94,𪾔,,,,,,,,,,,,
U+2AFA6,𪾦,,,,,,,,,,,,
U+2B088,𫂈,,,,,,,,,,,,
U+2B11B,𫄛,,,,,,,,,,,,
U+2B11F,𫄟,,,,,,,,,,,,
U+2B124,𫄤,,,,,,,,,,,,
U+2B125,𫄥,,,,,,,,,,,,
U+2B12B,𫄫,,,,,,,,,,,,
U+2B230,𫈰,,,,,,,,,,,,
U+2B241,𫉁,,,,,,,,,,,,
U+2B2CC,𫋌,,,,,,,,,,,,
U+2B328,𫌨,,,,,,,,,,,,
U+2B35F,𫍟,,,,,,,,,,,,
U+2B362,𫍢,,,,,,,,,,,,
U+2B3AB,𫎫,,,,,,,,,,,,
U+2B411,𫐑,,,,,,,,,,,,
U+2B416,𫐖,,,,,,,,,,,,
U+2B418,𫐘,,,,,,,,,,,,
U+2B4E9,𫓩,,,,,,,,,,,,
U+2B507,𫔇,,,,,,,,,,,,
U+2B583,𫖃,,,,,,,,,,,,
U+2B592,𫖒,,,,,,,,,,,,
U+2B594,𫖔,,,,,,,,,,,,
U+2B5B9,𫖹,,,,,,,,,,,,
U+2B5E0,𫗠,,,,,,,,,,,,
U+2B5E6,𫗦,,,,,,,,,,,,
U+2B5E9,𫗩,,,,,,,,,,,,
U+2B5EE,𫗮,,,,,,,,,,,,
U+2B5F0,𫗰,,,,,,,,,,,,
U+2B624,𫘤,,,,,,,,,,,,
U+2B62D,𫘭,,,,,,,,,,,,
U+2B688,𫚈,,,,,,,,,,,,
U+2B689,𫚉,,,,,,,,,,,,
U+2B692,𫚒,,,,,,,,,,,,
U+2B694,𫚔,,,,,,,,,,,,
U+2B6A5,𫚥,,,,,,,,,,,,
U+2B6DE,𫛞,,,,,,,,,,,,
U+2B6E3,𫛣,,,,,,,,,,,,
U+2B6E9,𫛩,,,,,,,,,,,,
U+2B6F3,𫛳,,,,,,,,,,,,
U+2B6F6,𫛶,,,,,,,,,,,,
U+2B6F8,𫛸,,,,,,,,,,,,
U+2B728,𫜨,,,,,,,,,,,,
U+2B72C,𫜬,,,,,,,,,,,,
U+2B7F7,𫟷,,,,,,,,,,,,
U+2B892,𫢒,,,,,,,,,,,,
U+2B8CA,𫣊,,,,,,,,,,,,
U+2B9EF,𫧯,,,,,,,,,,,,
U+2BA81,𫪁,,,,,,,,,,,,
U+2BA98,𫪘,,,,,,,,,,,,
U+2BAE6,𫫦,,,,,,,,,,,,
U+2BAFE,𫫾,,,,,,,,,,,,
U+2BB6A,𫭪,,,,,,,,,,,,
U+2BB85,𫮅,,,,,,,,,,,,
U+2BC02,𫰂,,,,,,,,,,,,
U+2BC21,𫰡,,,,,,,,,,,,
U+2BC30,𫰰,,,,,,,,,,,,
U+2BD7C,𫵼,,,,,,,,,,,,
U+2BF1D,𫼝,,,,,,,,,,,,
U+2C0D8,𬃘,,,,,,,,,,,,
U+2C129,𬄩,,,,,,,,,,,,
U+2C1AE,𬆮,,,,,,,,,,,,
U+2C1D8,𬇘,,,,,,,,,,,,
U+2C386,𬎆,,,,,,,,,,,,
U+2C457,𬑗,,,,,,,,,,,,
U+2C591,𬖑,,,,,,,,,,,,
U+2C61C,𬘜,,,,,,,,,,,,
U+2C61D,𬘝,,,,,,,,,,,,
U+2C622,𬘢,,,,,,,,,,,,
U+2C635,𬘵,,,,,,,,,,,,
U+2C646,𬙆,,,,,,,,,,,,
U+2C805,𬠅,,,,,,,,,,,,
U+2C88A,𬢊,,,,,,,,,,,,
U+2C8C0,𬣀,,,,,,,,,,,,
U+2C930,𬤰,,,,,,,,,,,,
U+2C9C0,𬧀,,,,,,,,,,,,
U+2CA8D,𬪍,,,,,,,,,,,,
U+2CB2B,𬬫,,,,,,,,,,,,
U+2CB32,𬬲,,,,,,,,,,,,
U+2CB3A,𬬺,,,,,,,,,,,,
U+2CB63,𬭣,,,,,,,,,,,,
U+2CB72,𬭲,,,,,,,,,,,,
U+2CB74,𬭴,,,,,,,,,,,,
U+2CBA4,𬮤,,,,,,,,,,,,
U+2CC66,𬱦,,,,,,,,,,,,
U+2CD10,𬴐,,,,,,,,,,,,
U+2CDA7,𬶧,,,,,,,,,,,,
U+2CE05,𬸅,,,,,,,,,,,,
U+2CE08,𬸈,,,,,,,,,,,,
U+2CE29,𬸩,,,,,,,,,,,,
U+2CE31,𬸱,,,,,,,,,,,,
U+2D11B,𭄛,,,,,,,,,,,,
U+2D382,𭎂,,,,,,,,,,,,
U+2D546,𭕆,,,,,,,,,,,,
U+2D613,𭘓,,,,,,,,,,,,
U+2D6A6,𭚦,,,,,,,,,,,,
U+2D8C7,𭣇,,,,,,,,,,,,
U+2D8E7,𭣧,,,,,,,,,,,,
U+2D930,𭤰,,,,,,,,,,,,
U+2DA86,𭪆,,,,,,,,,,,,
U+2DC4A,𭱊,,,,,,,,,,,,
U+2DE5C,𭹜,,,,,,,,,,,,
U+2E18F,𮆏,,,,,,,,,,,,
U+2E261,𮉡,,,,,,,,,,,,
U+2E262,𮉢,,,,,,,,,,,,
U+2E264,𮉤,,,,,,,,,,,,
U+2E267,𮉧,,,,,,,,,,,,
U+2E268,𮉨,,,,,,,,,,,,
U+2E26A,𮉪,,,,,,,,,,,,
U+2E26B,𮉫,,,,,,,,,,,,
U+2E26C,𮉬,,,,,,,,,,,,
U+2E26F,𮉯,,,,,,,,,,,,
U+2E428,𮐨,,,,,,,,,,,,
U+2E502,𮔂,,,,,,,,,,,,
U+2E505,𮔅,,,,,,,,,,,,
U+2E50A,𮔊,,,,,,,,,,,,
U+2E581,𮖁,,,,,,,,,,,,
U+2E5B1,𮖱,,,,,,,,,,,,
U+2E64A,𮙊,,,,,,,,,,,,
U+2E64B,𮙋,,,,,,,,,,,,
U+2E774,𮝴,,,,,,,,,,,,
U+2E775,𮝵,,,,,,,,,,,,
U+2E778,𮝸,,,,,,,,,,,,
U+2E779,𮝹,,,,,,,,,,,,
U+2E77A,𮝺,,,,,,,,,,,,
U+2E81E,𮠞,,,,,,,,,,,,
U+2E8F2,𮣲,,,,,,,,,,,,
U+2E8F3,𮣳,,,,,,,,,,,,
U+2E8F4,𮣴,,,,,,,,,,,,
U+2E8F5,𮣵,,,,,,,,,,,,
U+2E8F6,𮣶,,,,,,,,,,,,
U+2E8F7,𮣷,,,,,,,,,,,,
U+2E932,𮤲,,,,,,,,,,,,
U+2E9F4,𮧴,,,,,,,,,,,,
U+2E9F5,𮧵,,,,,,,,,,,,
U+2EA5B,𮩛,,,,,,,,,,,,
U+2EA5D,𮩝,,,,,,,,,,,,
U+2EA5E,𮩞,,,,,,,,,,,,
U+2EAA5,𮪥,,,,,,,,,,,,
U+2EAC2,𮫂,,,,,,,,,,,,
U+2EB1C,𮬜,,,,,,,,,,,,
U+2EB1D,𮬝,,,,,,,,,,,,
U+2EB1E,𮬞,,,,,,,,,,,,
U+2EB1F,𮬟,,,,,,,,,,,,
U+2EB20,𮬠,,,,,,,,,,,,
U+2EB21,𮬡,,,,,,,,,,,,
U+2EB22,𮬢,,,,,,,,,,,,
U+2EB23,𮬣,,,,,,,,,,,,
U+2EB24,𮬤,,,,,,,,,,,,
U+2EB65,𮭥,,,,,,,,,,,,
U+2EB66,𮭦,,,,,,,,,,,,
U+2EB68,𮭨,,,,,,,,,,,,
U+2EB6A,𮭪,,,,,,,,,,,,
U+2EB70,𮭰,,,,,,,,,,,,
U+2EB87,𮮇,,,,,,,,,,,,
U+2EBD9,𮯙,,,,,,,,,,,,
U+300F7,𰃷,,,,,,,,,,,,
U+307D8,𰟘,,,,,,,,,,,,
U+309C9,𰧉,,,,,,,,,,,,
U+30C71,𰱱,,,,,,,,,,,,
U+30D5D,𰵝,,,,,,,,,,,,
U+30D74,𰵴,,,,,,,,,,,,
U+30D7C,𰵼,,,,,,,,,,,,
U+30DE0,𰷠,,,,,,,,,,,,
U+30DE5,𰷥,,,,,,,,,,,,
U+310A8,𱂨,,,,,,,,,,,,
U+310B1,𱂱,,,,,,,,,,,,
U+310FA,𱃺,,,,,,,,,,,,
U+31148,𱅈,,,,,,,,,,,,
U+3114B,𱅋,,,,,,,,,,,,
U+311E3,𱇣,,,,,,,,,,,,
U+31254,𱉔,,,,,,,,,,,,
U+31275,𱉵,,,,,,,,,,,,
U+31283,𱊃,,,,,,,,,,,,
U+31288,𱊈,,,,,,,,,,,,
U+31E07,𱸇,,,,,,,,,,,,
