编码,汉字,语言,语言用例,地名,地名用例,科学,科学用例,人文,人文用例,人名,人名用例,和字,备注
U+527A,剺,,,,,,,,,,,,
U+5280,劀,,,,,,,,,,,,
U+5298,劘,,,,,,,,,,,,
U+5299,劙,,,,,,,,,,,,
U+52BB,劻,,,,,,,,,,,,
U+52F7,勷,,,,,,,,,,,,
U+52FC,勼,,,,,,,,,,,,
U+5304,匄,,,,,,,,,,,,
U+5309,匉,,,,,,,,,,,,
U+530B,匋,,,,,,,,,,,,
U+534C,卌,,,,,,,,,,,,
U+535D,卝,,,,,,,,,,,,
U+5372,卲,,,,,,,,,,,,
U+537C,卼,,,,,,,,,,,,
U+5394,厔,,,,,,,,,,,,
U+53E1,叡,,,,,,,,,,,,
U+540B,吋,,,,,,,,,,,,
U+5425,吥,,,,,,,,,,,,
U+542A,吪,,,,,,,,,,,,
U+5430,吰,,,,,,,,,,,,
U+544E,呎,,,,,,,,,,,,
U+545D,呝,,,,,,,,,,,,
U+5470,呰,,,,,,,,,,,,
U+5474,呴,,,,,,,,,,,,
U+5491,咑,,,,,,,,,,,,
U+54AE,咮,,,,,,,,,,,,
U+54B7,咷,,,,,,,,,,,,
U+54B9,咹,,,,,,,,,,,,
U+5508,唈,,,,,,,,,,,,
U+5517,唗,,,,,,,,,,,,
U+5521,唡,,,,,,,,,,,,
U+552B,唫,,,,,,,,,,,,
U+5536,唶,,,,,,,,,,,,
U+5548,啈,,,,,,,,,,,,
U+5559,啙,,,,,,,,,,,,
U+556F,啯,,,,,,,,,,,,
U+558C,喌,,,,,,,,,,,,
U+5593,喓,,,,,,,,,,,,
U+55A8,喨,,,,,,,,,,,,
U+55AD,喭,,,,,,,,,,,,
U+55C8,嗈,,,,,,,,,,,,
U+55D9,嗙,,,,,,,,,,,,
U+55DB,嗛,,,,,,,,,,,,
U+55FB,嗻,,,,,,,,,,,,
U+5612,嘒,,,,,,,,,,,,
U+561D,嘝,,,,,,,,,,,,
U+5646,噆,,,,,,,,,,,,
U+564F,噏,,,,,,,,,,,,
U+566D,噭,,,,,,,,,,,,
U+5677,噷,,,,,,,,,,,,
U+5683,嚃,,,,,,,,,,,,
U+569C,嚜,,,,,,,,,,,,
U+56CF,囏,,,,,,,,,,,,
U+56E5,囥,,,,,,,,,,,,
U+56EE,囮,,,,,,,,,,,,
U+5702,圂,,,,,,,,,,,,
U+5762,坢,,,,,,,,,,,,
U+5787,垇,,,,,,,,,,,,
U+579D,垝,,,,,,,,,,,,
U+57BD,垽,,,,,,,,,,,,
U+57EE,埮,,,,,,,,,,,,
U+57FB,埻,,,,,,,,,,,,
U+5804,堄,,,,,,,,,,,,
U+5829,堩,,,,,,,,,,,,
U+5836,堶,,,,,,,,,,,,
U+5843,塃,,,,,,,,,,,,
U+5848,塈,,,,,,,,,,,,
U+5855,塕,,,,,,,,,,,,
U+5868,塨,,,,,,,,,,,,
U+586E,塮,,,,,,,,,,,,
U+587D,塽,,,,,,,,,,,,
U+58AC,墬,,,,,,,,,,,,
U+58BA,墺,,,,,,,,,,,,
U+5912,夒,,,,,,,,,,,,
U+593F,夿,,,,,,,,,,,,
U+5940,奀,,,,,,,,,,,,
U+5945,奅,,,,,,,,,,,,
U+5964,奤,,,,,,,,,,,,
U+5970,奰,,,,,,,,,,,,
U+59B8,妸,,,,,,,,,,,,
U+59BA,妺,,,,,,,,,,,,
U+59C1,姁,,,,,,,,,,,,
U+5A12,娒,,,,,,,,,,,,
U+5A16,娖,,,,,,,,,,,,
U+5A2D,娭,,,,,,,,,,,,
U+5A57,婗,,,,,,,,,,,,
U+5A65,婥,,,,,,,,,,,,
U+5A95,媕,,,,,,,,,,,,
U+5A9F,媟,,,,,,,,,,,,
U+5AA0,媠,,,,,,,,,,,,
U+5AA2,媢,,,,,,,,,,,,
U+5ACF,嫏,,,,,,,,,,,,
U+5ADB,嫛,,,,,,,,,,,,
U+5AF3,嫳,,,,,,,,,,,,
U+5B0E,嬎,,,,,,,,,,,,
U+5BAD,宭,,,,,,,,,,,,
U+5BC0,寀,,,,,,,,,,,,
U+5BD4,寔,,,,,,,,,,,,
U+5BEF,寯,,,,,,,,,,,,
U+5BF1,寱,,,,,,,,,,,,
U+5C44,屄,,,,,,,,,,,,
U+5C4C,屌,,,,,,,,,,,,
U+5C5F,屟,,,,,,,,,,,,
U+5C72,屲,,,,,,,,,,,,
U+5C95,岕,,,,,,,,,,,,
U+5CA7,岧,,,,,,,,,,,,
U+5CC7,峇,,,,,,,,,,,,
U+5CEC,峬,,,,,,,,,,,,
U+5D95,嶕,,,,,,,,,,,,
U+5DB0,嶰,,,,,,,,,,,,
U+5DCE,巎,,,,,,,,,,,,
U+5DFF,巿,,,,,,,,,,,,
U+5E0A,帊,,,,,,,,,,,,
U+5E23,帣,,,,,,,,,,,,
U+5E29,帩,,,,,,,,,,,,
U+5E35,帵,,,,,,,,,,,,
U+5E48,幈,,,,,,,,,,,,
U+5E4E,幎,,,,,,,,,,,,
U+5E67,幧,,,,,,,,,,,,
U+5E68,幨,,,,,,,,,,,,
U+5E70,幰,,,,,,,,,,,,
U+5EAF,庯,,,,,,,,,,,,
U+5F0C,弌,,,,,,,,,,,,
U+5F0D,弍,,,,,,,,,,,,
U+5F0E,弎,,,,,,,,,,,,
U+5F1D,弝,,,,,,,,,,,,
U+5F2E,弮,,,,,,,,,,,,
U+5F7F,彿,,,,,,,,,,,,
U+5FAF,徯,,,,,,,,,,,,
U+5FD3,忓,,,,,,,,,,,,
U+5FE3,忣,,,,,,,,,,,,
U+5FE8,忨,,,,,,,,,,,,
U+6017,怗,,,,,,,,,,,,
U+6033,怳,,,,,,,,,,,,
U+6039,怹,,,,,,,,,,,,
U+6047,恇,,,,,,,,,,,,
U+605F,恟,,,,,,,,,,,,
U+6082,悂,,,,,,,,,,,,
U+6095,悕,,,,,,,,,,,,
U+60BE,悾,,,,,,,,,,,,
U+60C4,惄,,,,,,,,,,,,
U+60D3,惓,,,,,,,,,,,,
U+60F5,惵,,,,,,,,,,,,
U+60FC,惼,,,,,,,,,,,,
U+610A,愊,,,,,,,,,,,,
U+6112,愒,,,,,,,,,,,,
U+6119,愙,,,,,,,,,,,,
