编码,汉字,语言,语言用例,地名,地名用例,科学,科学用例,人文,人文用例,人名,人名用例,和字,繁体,备注,现汉收录,新华收录
U+7F5B,罛,,,,,,,,,,,,,,✓,
U+7F5D,罝,,,,,,,,,,,,,,✓,
U+7F63,罣,,,,,,,,,,,,,,✓,
U+7F65,罥,,,,,,,,,,,,,,✓,✓
U+7F66,罦,,,,,,,,,,,,,,✓,✓
U+7F6D,罭,,,,,,,,,,,,,,✓,
U+7F73,罳,,,,,,,,,,,,,,✓,✓
U+7F7B,罻,,,,,,,,,,,,,,✓,
U+7F7F,罿,,,,,,,,,,,,,,✓,
U+800E,耎,,,,,,,,,,,,,,✓,
U+8032,耲,,,,,,,,,,,,,,✓,✓
U+808F,肏,✓,我肏,,,,,,,,,,,,✓,
U+80D4,胔,,,,,,,,,,,,,,✓,✓
U+80F5,胵,,,,,,,,,,,,,,✓,
U+80F9,胹,,,,,,,,,,,,,,✓,
U+80FE,胾,,,,,,,,,,,,,,✓,✓
U+811D,脝,,,,,,,,,,,,,,✓,✓
U+8121,脡,,,,,,,,,,,,,,✓,
U+8122,脢,,,,,,,,,,,,,,✓,✓
U+8126,脦,,,,,,,,,,,,,,✓,✓
U+8130,脰,,,,,,,,,,,,,,✓,✓
U+8164,腤,,,,,,,,,,,,,,✓,
U+8177,腷,,,,,,,,,,,,,,✓,
U+8187,膇,,,,,,,,,,,,,,✓,✓
U+818D,膍,,,,,,,,,,,,,,✓,
U+8197,膗,,,,,,,,,,,,,,✓,✓
U+81B0,膰,,,,,,,,,,,,,,✓,✓
U+81B5,膵,,,,,,,,,,,,,,✓,✓
U+81DB,臛,,,,,,,,,,,,,,✓,
U+81DE,臞,,,,,,,,,,,,,,✓,✓
U+81F2,臲,,,,,,,✓,《周易》困于葛藟，于臲卼,,,,,〈书〉,✓,
U+81FA,臺,,,,,,,,,,,,,,✓,
U+81FF,臿,,,,,,,,,,,,,,✓,✓
U+820B,舋,,,,,,,,,,,,,,✓,
U+8251,艑,,,,,,,,,,,,,,✓,
U+8255,艕,,,,,,,,,,,,,,✓,
U+8256,艖,,,,,,,,,,,,,,✓,
U+827B,艻,,,,,,,,,,,,,,✓,
U+82A7,芧,,,,,,,,,,,,,,✓,
U+82B6,芶,,,,,,,,,,,,,,✓,✓
U+82C5,苅,,,,,,,,,,,,,,✓,
U+82E2,苢,,,,,,,,,,,,,,✓,✓
U+82F2,苲,,,,,,,,,,,,,,✓,✓
U+82F6,苶,,,,,,,,,,,,,,✓,✓
U+82FD,苽,,,,,,,,,,,,,,✓,✓
U+8316,茖,,,,,,,,,,,,,,✓,
U+8329,茩,,,,,,,,,,,,,,,✓
U+834D,荍,,,,,,,,,,,,,,✓,✓
U+83D1,菑,,,,,,,,,,,,,,✓,✓
U+83F6,菶,,,,,,,,,,,,,,✓,
U+83FB,菻,,,,,,,,,,,,,,✓,
U+83FE,菾,,,,,,,,,,,,,,✓,
U+8453,葓,,,,,,,,,,,,,,✓,
U+8467,葧,,,,,,,,,,,,,,✓,
U+8479,葹,,,,,,,,,,,,,,✓,
U+84A0,蒠,,,,,,,,,,,,,,✓,
U+84E8,蓨,,,,,,,,,,,,,,✓,✓
U+84F7,蓷,,,,,,,,,,,,,,✓,
U+84FA,蓺,,,,,,,,,,,,,,✓,✓
U+8502,蔂,,,,,,,,,,,,虆,,✓,
U+8527,蔧,,,,,,,,,,,,,,✓,✓
U+8590,薐,,,,,,,,,,,,,,✓,
U+8599,薙,,,,,,,,,,,,,,✓,✓
U+85C2,藂,,,,,,,,,,,,,,✓,
U+85CA,藊,,,,,,,,,,,,,,✓,✓
U+85D1,藑,,,,,,,,,,,,,,✓,
U+8661,虡,,,,,,,,,,,,,,✓,
U+8663,虣,,,,,,,,,,,,,,✓,
U+8669,虩,,,,,,,,,,,,,,✓,
U+8683,蚃,,,,,,,,,,,,蠁,,,✓
U+869B,蚛,,,,,,,,,,,,,,✓,
U+86A1,蚡,,,,,,,,,,,,,,✓,✓
U+86BF,蚿,,,,,,,,,,,,,,✓,
U+86C1,蛁,,,,,,,,,,,,,,✓,
U+86E3,蛣,,,,,,,,,,,,,,✓,
U+872F,蜯,,,,,,,,,,,,,,✓,
U+8730,蜰,,,,,,,,,,,,,,,✓
U+873A,蜺,,,,,,,,,,,,,,✓,
U+873C,蜼,,,,,,,,,,,,,,✓,
U+8742,蝂,,,,,,,,,,,,,,✓,
U+8744,蝄,,,,,,,,,,,,,,✓,
U+8780,螀,,,,,,,,,,,,螿,,✓,
U+87B2,螲,,,,,,,,,,,,,,✓,
U+87BE,螾,,,,,,,,,,,,,,✓,
U+87E2,蟢,,,,,,,,,,,,,,✓,✓
U+881A,蠚,,,,,,,,,,,,,,✓,
U+8835,蠵,,,,,,,,,,,,,,✓,
U+884B,衋,,,,,,,,,,,,,,✓,
U+884F,衏,,,,,,,✗,䘕衏,,,,,同“行院”，可不收,✓,
U+8856,衖,,,,,,,,,,,,,,✓,
U+888E,袎,,,,,,,,,,,,,,✓,
U+88BA,袺,,,,,,,,,,,,,,✓,✓
U+88CB,裋,,,,,,,,,,,,,,✓,✓
U+88EF,裯,,,,,,,,,,,,,,✓,
U+890E,褎,,,,,,,,,,,,,,✓,
U+891D,褝,,,,,,,,,,,,,,✓,
U+8926,褦,,,,,,,,,,,,,,✓,✓
U+893E,褾,,,,,,,,,,,,,,✓,
U+8946,襆,,,,,,,,,,,,,,✓,✓
U+896E,襮,,,,,,,,,,,,,,✓,
U+8976,襶,,,,,,,,,,,,,,✓,✓
U+8982,覂,,,,,,,,,,,,,,✓,
U+89CD,觍,,,,,,,,,,,,覥,,✓,✓
U+89FA,觺,,,,,,,,,,,,,,✓,
U+8B37,謷,,,,,,,,,,,,,,✓,✓
U+8B4D,譍,,,,,,,,,,,,,,✓,
U+8BEA,诪,,,,,,,,,,,,譸,,✓,✓
U+8C09,谉,,,,,,,,,,,,讅,,✓,
U+8C40,豀,,,,,,,,,,,,,,✓,
U+8C57,豗,,,,,,,,,,,,,,✓,✓
U+8C6D,豭,,,,,,,,,,,,,,✓,✓
U+8D69,赩,,,,,,,,,,,,,,✓,
U+8D6F,赯,,,,,,,,,,,,,,✓,✓
U+8D78,赸,,,,,,,,,,,,,,✓,✓
U+8D96,趖,,,,,,,,,,,,,,,✓
U+8DBB,趻,,,,,,,,,,,,,,✓,
U+8DC5,跅,,,,,,,,,,,,,,✓,✓
U+8DD4,跔,,,,,,,,,,,,,,✓,
U+8DD5,跕,,,,,,,,,,,,,,✓,
U+8DE9,跩,,,,,,,,,,,,,,✓,✓
U+8DF0,跰,,,,,✗,跰䟡,,,,,,,同“胼胝”，可不收,✓,
U+8DF2,跲,,,,,,,,,,,,,,✓,
U+8E06,踆,,,,,,,,,,,,,,✓,
U+8E16,踖,,,,,,,,,,,,,,✓,✓
U+8E27,踧,,,,,,,,,,,,,,✓,✓
U+8E33,踳,,,,,,,,,,,,,,✓,✓
U+8E38,踸,,,,,,,,,,,,,,✓,
U+8E4D,蹍,,,,,,,,,,,,,,✓,✓
U+8E4E,蹎,,,,,,,,,,,,,,✓,
U+8E53,蹓,,,,,,,,,,,,,,✓,✓
U+8E84,躄,,,,,,,,,,,,,,✓,✓
U+8E88,躈,,,,,,,,,,,,,,✓,
U+8FB5,辵,,,,,,,✓,辵部,,,,,〈书〉,✓,
U+8FBB,辻,,,,,,,,,✓,绫辻行人,✓,,,✓,✓
U+8FCD,迍,,,,,,,,,,,,,,✓,✓
U+8FD2,迒,,,,,,,,,,,,,,✓,✓
U+904C,遌,,,,,,,,,,,,,,✓,
U+905D,遝,,,,,,,,,,,,,,✓,✓
U+9085,邅,,,,,,,,,,,,,,✓,✓
U+90CB,郋,,,,,,,,,,,,,,✓,
U+90D5,郕,,,,,,,,,,,,,,✓,
U+90D9,郙,,,,,,,,,,,,,,✓,
U+910B,鄋,,,,,,,,,,,,,,,✓
U+910F,鄏,,,,,,,,,,,,,,✓,
U+913E,鄾,,,,,,,,,,,,,,✓,
U+9155,酕,,,,,,,,,,,,,,✓,✓
U+9158,酘,,,,,,,,,,,,,,✓,
U+9181,醁,,,,,,,,,,,,,,✓,✓
U+9184,醄,,,,,,,,,,,,,,✓,✓
U+918A,醊,,,,,,,,,,,,,,✓,✓
U+91A1,醡,,,,,,,,,,,,,,✓,
U+91B0,醰,,,,,,,,,,,,,,✓,
U+91BD,醽,,,,,,,,,,,,,,✓,✓
U+92EC,鋬,,,,,,,,,,,,,,✓,✓
U+94D3,铓,,,,,,,,,,,,鋩,,✓,✓
U+94E6,铦,,,,,,,,,,,,銛,,✓,✓
U+95EC,闬,,,,,,,,,,,,閈,,✓,✓
U+9613,阓,,,,,,,,,,,,闠,,✓,✓
U+961B,阛,,,,,,,,,,,,闤,,✓,✓
U+9627,阧,,,,,,,,,,,,,,✓,✓
U+9641,陁,,,,,,,,,,,,,,✓,
U+969E,隞,,,,,,,,,,,,,,✓,
U+969F,隟,,,,,,,,,,,,,,✓,
U+96D8,雘,,,,,,,,,,,,,,✓,
U+96F0,雰,,,,,,,,,,,,,,✓,✓
U+9702,霂,,,,,,,,,,,,,,✓,✓
U+9719,霙,,,,,,,,,,,,,,✓,
U+9721,霡,,,,,,,,,,,,霢,,✓,✓
U+972B,霫,,,,,,,,,,,,,,✓,
U+976A,靪,,,,,,,,,,,,,,✓,
U+9777,靷,,,,,,,,,,,,,,✓,
U+978C,鞌,,,,,,,,,,,,,,✓,✓
U+9793,鞓,,,,,,,,,,,,,,✓,✓
U+979A,鞚,,,,,,,,,,,,,,✓,✓
U+979B,鞛,,,,,,,,,,,,,,✓,
U+979E,鞞,,,,,,,,,,,,,,✓,✓
U+979F,鞟,,,,,,,,,,,,,,✓,
U+97A5,鞥,,,,,,,,,,,,,,✓,✓
U+97B6,鞶,,,,,,,,,,,,,,✓,
U+98A3,颣,,,,,,,,,,,,纇,,✓,✓
U+98D6,飖,,,,,,,,,,,,颻,,✓,✓
U+9964,饤,,,,,,,,,,,,飣,,✓,✓
U+9966,饦,,,,,,,,,,,,飥,,✓,✓
U+997E,饾,,,,,,,,,,,,餖,,✓,✓
U+9982,馂,,,,,,,,,,,,餕,,✓,✓
U+998E,馎,,,,,,,,,,,,餺,,✓,✓
U+9AAB,骫,,,,,,,,,,,,,,✓,
U+9AAD,骭,,,,,,,,,,,,,,✓,✓
U+9AB3,骳,,,,,,,,,,,,,,✓,
U+9AB4,骴,,,,,,,,,,,,,,✓,
U+9AC6,髆,,,,,,,,,,,,,,✓,
U+9AC8,髈,,,,,,,,,,,,,,✓,
U+9AE7,髧,,,,,,,,,,,,,,✓,
U+9AF2,髲,,,,,,,,,,,,,,✓,
U+9AF3,髳,,,,,,,,,,,,,,✓,
U+9B01,鬁,,,,,,,,,,,,,,✓,✓
U+9B05,鬅,,,,,,,,,,,,,,✓,
U+9B07,鬇,,,,,,,,,,,,,,✓,
U+9B0B,鬋,,,,,,,,,,,,,,✓,
U+9B0C,鬌,,,,,,,✓,䰀鬌,,,,,〈书〉,✓,
U+9B0E,鬎,,,,,,,,,,,,,,✓,✓
U+9B10,鬐,,,,,,,,,,,,,,✓,✓
U+9B11,鬑,,,,,,,,,,,,,,✓,
U+9B19,鬙,,,,,,,,,,,,,,✓,
U+9B34,鬴,,,,,,,,,,,,,,✓,✓
U+9E34,鸴,,,,,,,,,,,,鷽,,,✓
U+9E53,鹓,,,,,,,,,,,,鵷,,✓,✓
U+9E65,鹥,,,,,,,,,,,,鷖,,✓,✓
U+9EC1,黁,,,,,,,,,,,,,,✓,
U+9ED5,黕,,,,,,,,,,,,,,✓,
U+9EE6,黦,,,,,,,,,,,,,,✓,
U+9EF1,黱,,,,,,,,,,,,,,✓,
U+9EF5,黵,,,,,,,,,,,,,,✓,✓
U+9F1F,鼟,,,,,,,,,,,,,,✓,✓
U+9F25,鼥,,,,,,,,,,,,,,✓,✓
U+9F27,鼧,,,,,,,,,,,,,,✓,✓
U+9F2A,鼪,,,,,,,,,,,,,,✓,
U+9F46,齆,,,,,,,,,,,,,,✓,✓
U+9FC3,鿃,,,,,,,,,,,,,,✓,✓
U+9FD4,鿔,,,✓,鿔,,,,,,,,鎶,,✓,✓
U+9FEB,鿫,,,✓,鿫,,,,,,,,,,,✓
U+9FEC,鿬,,,✓,鿬,,,,,,,,,,,✓
U+9FED,鿭,,,✓,鿭,,,,,,,,鉨,,✓,✓
U+20242,𠉂,,,,,,,,,,,,㒓,,✓,✓
U+2029F,𠊟,,,,,,,,,,,,,,✓,
U+202C6,𠋆,,,,,,,,,,,,,,✓,
U+20C8E,𠲎,,,,,,,,,,,,,,✓,
U+20CFC,𠳼,,,,,,,,,,,,,,✓,
U+20E96,𠺖,,,,,,,,,,,,,,✓,
U+21334,𡌴,,,,,,,,,,,,,,✓,
U+213CB,𡏋,,,,,,,,,,,,,,✓,
U+21484,𡒄,,,,,,,,,,,,,,✓,
U+216DF,𡛟,,,,,,,,,,,,,,✓,✓
U+21DEB,𡷫,,,,,,,,,,,,,,✓,✓
U+21E03,𡸃,,,,,,,,,,,,𡽗,,✓,
U+22016,𢀖,,,,,,,,,,,,巠,,✓,
U+22650,𢙐,,,,,,,,,,,,憹,,✓,
U+22A8F,𢪏,,,,,,,,,,,,,,✓,
U+22AEC,𢫬,,,,,,,,,,,,摋,,✓,✓
U+22C49,𢱉,,,,,,,,,,,,,,✓,
U+232C9,𣋉,,,,,,,,,,,,,,✓,
U+233B4,𣎴,✓,树𣎴子,,,,,,,,,,,,✓,
U+2343F,𣐿,,,,,✓,栘𣐿,,,,,,,,✓,
U+23617,𣘗,,,,,,,,,,,,,,✓,
U+23A3C,𣨼,,,,,,,,,,,,殢,,✓,✓
U+23A95,𣪕,,,,,,,,,,,,,,✓,
U+23B72,𣭲,,,,,,,,,,,,,,✓,✓
U+23C7C,𣱼,,,,,,,,,,,,,,✓,✓
U+23D13,𣴓,,,✓,北𣴓省（越南）,,,,,,,,,,✓,
U+241B5,𤆵,✓,𤆵耳朵,,,,,,,,,,,〈方〉,✓,
U+2477D,𤝽,,,,,,,✓,《水浒传》：㺀𤝽,,,,,“忽律”，鳄鱼,✓,
U+247A4,𤞤,,,,,,,,,,,,玁,,✓,✓
U+247B6,𤞶,,,,,,,,,,,,,,✓,
U+24A8C,𤪌,,,,,,,,,,,,,,✓,✓
U+24B62,𤭢,✓,𤭢丁壳,,,,,,,,,,,〈方〉,✓,
U+24C1A,𤰚,,,,,,,,,,,,,,✓,
U+25050,𥁐,,,,,,,,,,,,,,✓,
U+25062,𥁢,,,,,,,,,,,,䀉,,✓,
U+2517B,𥅻,,,,,,,,,,,,,,✓,
U+251A7,𥆧,,,,,,,,,,,,瞤,,✓,
U+251E2,𥇢,,,,,,,,,,,,䁪,,✓,✓
U+25273,𥉳,,,,,,,,,,,,,,✓,
U+2560C,𥘌,,,,,,,,,,,,,,✓,
U+25977,𥥷,,,,,,,,,,,,,,✓,
U+25B1E,𥬞,,,,,,,,,,,,籋,,✓,
U+25B20,𥬠,,,,,,,,,,,,篘,,✓,
U+25B2F,𥬯,✗,𥬯䇭,,,,,,,,,,,同“栲栳”，可不收,✓,
U+25B9C,𥮜,,,,,,,,,,,,䉲,,✓,
U+25BBE,𥮾,,,,,,,,,,,,篸,,✓,✓
U+25BE8,𥯨,,,,,✓,𥯨𱸇竹,,,,,,,,✓,
U+25DD1,𥷑,,,,,,,,,,,,,,✓,
U+25FDD,𥿝,,,,,,,,,,,,,,✓,
U+26216,𦈖,,,,,,,,,,,,䌈,,✓,
U+26220,𦈠,,,,,,,,,,,,䌥,,✓,✓
U+2630A,𦌊,,,,,,,,,,,,,,✓,
U+26553,𦕓,,,,,,,,,,,,,,✓,
U+267A6,𦞦,,,,,,,,,,,,,,✓,
U+26A29,𦨩,,,,,,,,,,,,𦪽,,✓,
U+26A2D,𦨭,,,,,,,,,,,,,,✓,
U+26C0F,𦰏,,,,,,,,,,,,,,✓,✓
U+273A5,𧎥,,,,,,,,,,,,,,✓,
U+273FE,𧏾,,,,,,,,,,,,,,✓,
U+277C4,𧟄,,,,,,,,,,,,,,✓,✓
U+280C5,𨃅,,,,,,,,,,,,,,✓,
U+284C8,𨓈,,,,,,,,,,,,,,✓,✓
U+28697,𨚗,,,,,,,,,,,,,,✓,
U+28C4D,𨱍,,,,,,,,,,,,鎯,,✓,✓
U+28EE7,𨻧,,,,,,,,,,,,,,✓,
U+2925C,𩉜,,,,,,,,,,,,,,✓,
U+29B9C,𩮜,,,,,,,,,,,,,,✓,
U+2A38A,𪎊,,,,,,,,,,,,麨,,✓,
U+2A79D,𪞝,,,,,,,,,,,,凙,,✓,
U+2A833,𪠳,,,,,,,,,,,,唓,,✓,
U+2A8AE,𪢮,,,,,,,,,,,,圞,,✓,
U+2A8DD,𪣝,,,,,,,,,,,,,,✓,
U+2AA07,𪨇,,,,,,,,,,,,尵,,✓,✓
U+2AA0A,𪨊,,,,,,,,,,,,㞞,,✓,
U+2AA17,𪨗,,,,,,,,,,,,屩,,✓,✓
U+2AB62,𪭢,,,,,,,,,,,,摐,,✓,
U+2AB8B,𪮋,,,,,,,,,,,,㩋,,✓,
U+2AC77,𪱷,,,,,,,,,,,,梖,,✓,
U+2AC94,𪲔,,,,,,,,,,,,欐,,✓,
U+2ADFD,𪷽,,,,,,,,,,,,灒,,✓,
U+2AED0,𪻐,,,,,,,,,,,,瑽,,✓,✓
U+2AF47,𪽇,,,,,,,,,,,,,,✓,
U+2AF94,𪾔,,,,,,,,,,,,盨,,✓,
U+2AFA6,𪾦,,,,,,,,,,,,矑,,✓,
U+2B088,𫂈,,,,,,,,,,,,䉬,,✓,
U+2B11B,𫄛,,,,,,,,,,,,紟,,✓,
U+2B11F,𫄟,,,,,,,,,,,,絁,,✓,
U+2B124,𫄤,,,,,,,,,,,,繨,,✓,✓
U+2B125,𫄥,,,,,,,,,,,,纚,,✓,✓
U+2B12B,𫄫,,,,,,,,,,,,綟,,✓,
U+2B230,𫈰,,,,,,,,,,,,,,✓,
U+2B241,𫉁,,,,,,,,,,,,薆,,✓,
U+2B2CC,𫋌,,,,,,,,,,,,蟘,,✓,
U+2B328,𫌨,,,,,,,,,,,,覼,,✓,✓
U+2B35F,𫍟,,,,,,,,,,,,𧦧,,✓,
U+2B362,𫍢,,,,,,,,,,,,譊,,✓,
U+2B3AB,𫎫,,,,,,,,,,,,贉,,✓,
U+2B411,𫐑,,,,,,,,,,,,輨,,✓,
U+2B416,𫐖,,,,,,,,,,,,轇,,✓,
U+2B418,𫐘,,,,,,,,,,,,轗,,✓,
U+2B4E9,𫓩,,,,,,,,,,,,鏦,,✓,
U+2B507,𫔇,,,,,,,,,,,,鎞,,✓,
U+2B583,𫖃,,,,,,,,,,,,靧,,✓,
U+2B592,𫖒,,,,,,,,,,,,韠,,✓,
U+2B594,𫖔,,,,,,,,,,,,韛,,✓,✓
U+2B5B9,𫖹,,,,,,,,,,,,顣,,✓,
U+2B5E0,𫗠,,,,,,,,,,,,餦,,✓,
U+2B5E6,𫗦,,,,,,,,,,,,餔,,✓,
U+2B5E9,𫗩,,,,,,,,,,,,饠,,✓,
U+2B5EE,𫗮,,,,,,,,,,,,餭,,✓,
U+2B5F0,𫗰,,,,,,,,,,,,䭔,,✓,
U+2B624,𫘤,,,,,,,,,,,,騃,,✓,✓
U+2B62D,𫘭,,,,,,,,,,,,騻,,✓,
U+2B688,𫚈,,,,,,,,,,,,鱮,,✓,
U+2B689,𫚉,,,,,,,,,,,,魟,,✓,
U+2B692,𫚒,,,,,,,,,,,,鮄,,✓,
U+2B694,𫚔,,,,,,,,,,,,鮰,,✓,
U+2B6A5,𫚥,,,,,,,,,,,,鰕,,✓,
U+2B6DE,𫛞,,,,,,,,,,,,鴃,,✓,✓
U+2B6E3,𫛣,,,,,,,,,,,,鴥,,✓,
U+2B6E9,𫛩,,,,,,,,,,,,鴳,,,✓
U+2B6F3,𫛳,,,,,,,,,,,,鵩,,✓,
U+2B6F6,𫛶,,,,,,,✓,㶉𫛶,,,,鶒,,✓,✓
U+2B6F8,𫛸,,,,,,,,,,,,鶗,,✓,
U+2B728,𫜨,,,,,,,,,,,,䶕,,✓,✓
U+2B72C,𫜬,,,,,,,,,,,,齰,,✓,
U+2B7F7,𫟷,,,✓,𫟷,,,,,,,,鉝,,✓,✓
U+2B892,𫢒,,,,,,,,,,,,儱,,✓,
U+2B8CA,𫣊,,,,,,,,,,,,僾,,✓,
U+2B9EF,𫧯,,,,,,,,,,,,卨,,✓,✓
U+2BA81,𫪁,,,,,,,,,,,,唻,,✓,
U+2BA98,𫪘,,,,,,,,,,,,𡂿,,✓,
U+2BAE6,𫫦,,,,,,,,,,,,嚪,,✓,
U+2BAFE,𫫾,,,,,,,,,,,,嚬,,✓,
U+2BB6A,𫭪,,,,,,,,,,,,墝,,✓,
U+2BB85,𫮅,,,,,,,,,,,,墋,,✓,
U+2BC02,𫰂,,,,,,,,,,,,奲,,✓,
U+2BC21,𫰡,,,,,,,,,,,,嬅,,✓,
U+2BC30,𫰰,,,,,,,,,,,,嬐,,,✓
U+2BD7C,𫵼,,,,,,,,,,,,,,✓,
U+2BF1D,𫼝,,,,,,,,,,,,搊,,✓,
U+2C0D8,𬃘,,,,,,,,,,,,樲,,✓,
U+2C129,𬄩,,,,,,,,,,,,櫽,,✓,
U+2C1AE,𬆮,,,,,,,,,,,,鷇,,✓,✓
U+2C1D8,𬇘,,,,,,,,,,,,漙,,✓,
U+2C386,𬎆,,,,,,,,,,,,㼆,,✓,
U+2C457,𬑗,,,,,,,,,,,,瞷,,✓,
U+2C591,𬖑,,,,,,,,,,,,粯,,✓,
U+2C61C,𬘜,,,,,,,,,,,,䋎,,✓,
U+2C61D,𬘝,,,,,,,,,,,,紾,,✓,
U+2C622,𬘢,,,,,,,,,,,,絖,,✓,
U+2C635,𬘵,,,,,,,,,,,,緪,,✓,
U+2C646,𬙆,,,,,,,,,,,,繙,,✓,
U+2C805,𬠅,,,,,,,,,,,,蟷,,✓,
U+2C88A,𬢊,,,,,,,,,,,,覗,,✓,✓
U+2C8C0,𬣀,,,,,,,,,,,,讆,,✓,
U+2C930,𬤰,,,,,,,,,,,,讙,,✓,
U+2C9C0,𬧀,,,,,,,,,,,,蹡,,✓,✓
U+2CA8D,𬪍,,,,,,,,,,,,鄮,,✓,
U+2CB2B,𬬫,,,,,,,,,,,,鈚,,✓,✓
U+2CB32,𬬲,,,,,,,,,,,,釽,,✓,
U+2CB3A,𬬺,,,,,,,,,,,,鉏,,✓,
U+2CB63,𬭣,,,,,,,,,,,,䤼,,✓,✓
U+2CB72,𬭲,,,,,,,,,,,,鏁,,✓,
U+2CB74,𬭴,,,,,,,,,,,,䥛,,✓,
U+2CBA4,𬮤,,,,,,,,,,,,閤,,✓,✓
U+2CC66,𬱦,,,,,,,,,,,,䫏,,✓,
U+2CD10,𬴐,,,,,,,,,,,,驩,,✓,
U+2CDA7,𬶧,,,,,,,,,,,,鰇,,✓,
U+2CE05,𬸅,,,,,,,,,,,,鶵,,✓,✓
U+2CE08,𬸈,,,,,,,,,,,,鵄,,✓,
U+2CE29,𬸩,,,,,✓,𱉵𬸩,,,,,,䴈,,✓,
U+2CE31,𬸱,,,,,,,,,,,,鸜,,✓,
U+2D11B,𭄛,,,,,,,,,,,,劗,,✓,
U+2D382,𭎂,,,,,,,,,,,,㙡,,✓,
U+2D546,𭕆,,,,,,,,,,,,𧴪,,✓,
U+2D613,𭘓,,,,,,,,,,,,幠,,✓,
U+2D6A6,𭚦,,,,,,,,,,,,彍,,✓,✓
U+2D8C7,𭣇,,,,,,,,,,,,攧,,✓,✓
U+2D8E7,𭣧,,,,,,,,,,,,斁,,✓,
U+2D930,𭤰,,,,,,,,,,,,旟,,✓,
U+2DA86,𭪆,,,,,,,,,,,,檛,,✓,
U+2DC4A,𭱊,,,,,,,,,,,,澒,,✓,✓
U+2DE5C,𭹜,,,,,,,,,,,,㼈,,✓,
U+2E18F,𮆏,,,,,,,,,,,,籣,,✓,
U+2E261,𮉡,,,,,,,,,,,,纑,,✓,
U+2E262,𮉢,,,,,,,,,,,,紩,,✓,
U+2E264,𮉤,,,,,,,,,,,,絓,,✓,
U+2E267,𮉧,,,,,,,,,,,,緉,,✓,✓
U+2E268,𮉨,,,,,,,,,,,,緺,,✓,✓
U+2E26A,𮉪,,,,,,,,,,,,緅,,✓,✓
U+2E26B,𮉫,,,,,,,,,,,,緌,,✓,✓
U+2E26C,𮉬,,,,,,,,,,,,綷,,✓,
U+2E26F,𮉯,,,,,,,,,,,,縩,,✓,
U+2E428,𮐨,,,,,,,,,,,,蘡,,✓,✓
U+2E502,𮔂,,,,,,,,,,,,䗻,,✓,
U+2E505,𮔅,,,,,,,,,,,,蝜,,✓,
U+2E50A,𮔊,,,,,,,,,,,,蜽,,✓,
U+2E581,𮖁,,,,,,,,,,,,裲,,✓,
U+2E5B1,𮖱,,,,,,,,,,,,襭,,✓,
U+2E64A,𮙊,,,,,,,,,,,,讔,,✓,
U+2E64B,𮙋,,,,,,,,,,,,讟,,✓,✓
U+2E774,𮝴,,,,,,,,,,,,軱,,✓,✓
U+2E775,𮝵,,,,,,,,,,,,輀,,✓,
U+2E778,𮝸,,,,,,,,,,,,輴,,✓,
U+2E779,𮝹,,,,,,,,,,,,轘,,✓,✓
U+2E77A,𮝺,,,,,,,,,,,,轕,,✓,
U+2E81E,𮠞,,,,,,,,,,,,䤌,,✓,
U+2E8F2,𮣲,,,,,,,,,,,,釭,,✓,
U+2E8F3,𮣳,,,,,,,,,,,,鈜,,✓,
U+2E8F4,𮣴,,,,,,,,,,,,鋋,,✓,✓
U+2E8F5,𮣵,,,,,,,,,,,,錣,,✓,
U+2E8F6,𮣶,,,,,,,,,,,,鑢,,✓,
U+2E8F7,𮣷,,,,,,,,,,,,,,✓,
U+2E932,𮤲,,,,,,,,,,,,閟,,✓,✓
U+2E9F4,𮧴,,,,,,,,,,,,韔,,✓,✓
U+2E9F5,𮧵,,,,,,,,,,,,韡,,✓,✓
U+2EA5B,𮩛,,,,,,,,,,,,饆,,✓,
U+2EA5D,𮩝,,,,,,,,,,,,餲,,,✓
U+2EA5E,𮩞,,,,,,,,,,,,饐,,✓,
U+2EAA5,𮪥,,,,,,,,,,,,驐,,✓,
U+2EAC2,𮫂,,,,,,,,,,,,鬡,,✓,
U+2EB1C,𮬜,,,,,,,,,,,,鮨,,✓,
U+2EB1D,𮬝,,,,,,,,,,,,鱥,,✓,
U+2EB1E,𮬞,,,,,,,,,,,,䱗,,✓,
U+2EB1F,𮬟,,,,,,,,,,,,䱛,,✓,
U+2EB20,𮬠,,,,,,,,,,,,䱚,,✓,
U+2EB21,𮬡,,,,,,,,,,,,䱻,,✓,
U+2EB22,𮬢,,,,,,,,,,,,䱵,,✓,
U+2EB23,𮬣,,,,,,,,,,,,䲗,,✓,
U+2EB24,𮬤,,,,,,,,,,,,鱵,,✓,
U+2EB65,𮭥,,,,,,,,,,,,䳍,,✓,
U+2EB66,𮭦,,,,,,,,,,,,𪁏,,✓,
U+2EB68,𮭨,,,,,,,,,,,,鷃,,✓,
U+2EB6A,𮭪,,,,,,,,,,,,鷞,,✓,
U+2EB70,𮭰,,,,,,,,,,,,䴚,,✓,
U+2EB87,𮮇,,,,,,,,,,,,麰,,✓,
U+2EBD9,𮯙,,,,,,,,,,,,䶗,,✓,
U+300F7,𰃷,,,,,,,,,,,,凔,,✓,
U+307D8,𰟘,,,,,,,,,,,,爓,,✓,
U+309C9,𰧉,,,,,,,,,,,,礩,,✓,
U+30C71,𰱱,,,,,,,,,,,,薋,,✓,
U+30D5D,𰵝,,,,,,,,,✓,简川𰵝,,訸,〈书〉,✓,
U+30D74,𰵴,,,,,,,,,,,,諔,,✓,
